Age,Gender,Education,Person Income,Employee Experience,Home Ownership,Loan Amount,Loan Intent,Loan interest Rate,Loan percentage,Credit History,Credit Score,Is Rejected
24,female,Bachelor,79054,1,RENT,32500,HOMEIMPROVEMENT,9.99,0.41,3,700,1
21,female,Bachelor,14988,0,OTHER,4000,EDUCATION,12.84,0.27,2,553,1
21,male,High School,14858,0,OWN,2000,MEDICAL,11.12,0.13,3,589,1
26,male,Bachelor,114645,2,RENT,31050,HOMEIMPROVEMENT,14.17,0.27,3,681,1
26,female,Associate,361076,1,MORTGAGE,7800,MEDICAL,13.49,0.02,4,669,0
21,male,Associate,15150,0,OWN,2500,EDUCATION,7.51,0.17,4,600,1
22,female,Bachelor,58868,0,RENT,30000,EDUCATION,18.39,0.51,2,606,1
24,male,High School,78026,3,RENT,30000,DEBTCONSOLIDATION,14.54,0.38,3,582,1
25,male,Bachelor,90785,4,RENT,30000,HOMEIMPROVEMENT,16.89,0.33,4,649,1
23,female,High School,86811,0,RENT,30000,DEBTCONSOLIDATION,11.01,0.35,4,602,1
26,male,Bachelor,75503,5,RENT,30000,MEDICAL,17.99,0.4,2,616,1
24,female,High School,15082,0,OWN,2500,VENTURE,12.69,0.17,3,631,1
26,male,Master,360680,5,OWN,10000,HOMEIMPROVEMENT,10.38,0.03,4,649,0
25,female,Bachelor,361244,2,MORTGAGE,18000,HOMEIMPROVEMENT,16.45,0.05,3,620,0
26,male,Bachelor,98230,2,RENT,30000,PERSONAL,7.49,0.31,3,622,1
22,female,High School,80838,0,RENT,30000,MEDICAL,12.69,0.37,3,645,1
26,male,Master,107957,2,RENT,30000,DEBTCONSOLIDATION,6.62,0.28,3,654,1
24,female,Bachelor,94649,2,RENT,30000,DEBTCONSOLIDATION,11.01,0.32,4,624,1
23,male,High School,94550,1,RENT,30000,DEBTCONSOLIDATION,18.62,0.32,3,570,1
23,male,Bachelor,111153,3,RENT,30000,PERSONAL,15.23,0.27,3,648,1
23,female,Associate,117250,0,RENT,30000,VENTURE,10.65,0.26,2,652,1
25,male,Bachelor,144985,3,RENT,30000,EDUCATION,7.9,0.21,4,559,0
23,male,Bachelor,333399,1,OWN,35000,PERSONAL,11.01,0.1,4,609,0
26,female,High School,316466,6,MORTGAGE,10000,EDUCATION,11.01,0.03,4,579,1
25,female,Associate,267671,0,MORTGAGE,25000,MEDICAL,15.7,0.09,2,582,1
22,male,Master,85191,0,RENT,29100,EDUCATION,15.99,0.34,3,700,1
22,male,Associate,15013,0,MORTGAGE,1500,EDUCATION,14.84,0.1,3,688,0
25,male,High School,15162,1,OWN,3000,MEDICAL,11.01,0.2,3,564,1
22,male,Associate,69042,0,RENT,28000,MEDICAL,11.01,0.41,2,598,1
21,female,High School,15307,0,OWN,3000,EDUCATION,13.61,0.2,3,557,1
23,female,Associate,79183,0,RENT,28000,EDUCATION,7.9,0.35,2,677,1
26,male,Bachelor,102654,4,RENT,28000,VENTURE,7.49,0.27,3,690,1
26,male,Associate,15229,1,OWN,6100,EDUCATION,7.51,0.4,3,599,1
22,male,High School,106566,0,RENT,28000,VENTURE,9.91,0.26,3,604,1
21,female,Bachelor,15252,0,OWN,4200,PERSONAL,13.48,0.28,4,663,1
22,male,Bachelor,15432,3,OWN,4750,DEBTCONSOLIDATION,7.14,0.31,2,601,1
24,male,High School,100332,1,RENT,28000,VENTURE,15.99,0.28,4,634,1
24,male,Bachelor,300951,2,RENT,18000,EDUCATION,12.98,0.06,3,671,0
25,female,Bachelor,121062,1,RENT,28000,DEBTCONSOLIDATION,12.69,0.23,3,622,0
26,male,Bachelor,15505,0,OWN,2700,DEBTCONSOLIDATION,11.01,0.17,4,587,1
22,male,Master,130852,0,RENT,28000,EDUCATION,11.01,0.21,4,683,1
24,female,Bachelor,83853,3,RENT,27600,HOMEIMPROVEMENT,11.01,0.33,2,690,1
21,female,Bachelor,15394,0,MORTGAGE,3250,DEBTCONSOLIDATION,15.68,0.21,3,518,1
22,female,Bachelor,85243,0,RENT,27500,EDUCATION,13.06,0.32,3,583,1
26,male,Associate,89074,4,RENT,27050,VENTURE,15.62,0.3,2,668,1
24,male,Master,100509,2,RENT,27000,PERSONAL,13.49,0.27,2,673,1
24,male,High School,88950,3,RENT,27000,VENTURE,11.01,0.3,3,706,1
23,female,High School,75894,1,RENT,26000,MEDICAL,11.71,0.34,2,536,1
22,male,Bachelor,73131,3,RENT,25475,VENTURE,10.99,0.35,3,681,1
25,male,Bachelor,266090,4,MORTGAGE,11900,DEBTCONSOLIDATION,14.42,0.04,3,669,1
23,male,Associate,100756,0,RENT,25300,EDUCATION,10.99,0.25,3,689,1
22,male,High School,16218,1,MORTGAGE,2000,PERSONAL,5.42,0.12,4,614,1
21,female,Bachelor,51922,3,RENT,25000,EDUCATION,12.73,0.48,3,673,1
24,male,Associate,50309,3,RENT,25000,HOMEIMPROVEMENT,11.01,0.5,3,625,1
25,male,High School,16378,0,OWN,3000,DEBTCONSOLIDATION,12.87,0.18,4,603,1
24,male,Bachelor,16572,0,MORTGAGE,3650,HOMEIMPROVEMENT,9.91,0.22,3,589,1
26,male,Associate,256862,2,MORTGAGE,35000,EDUCATION,10.65,0.14,2,643,1
24,male,High School,16470,2,MORTGAGE,4500,DEBTCONSOLIDATION,11.83,0.27,4,643,1
23,male,High School,16599,0,OWN,2400,DEBTCONSOLIDATION,13.49,0.14,2,505,1
22,male,Bachelor,51608,0,RENT,25000,MEDICAL,14.59,0.48,2,593,1
26,female,Master,58516,6,RENT,25000,EDUCATION,9.64,0.43,4,686,1
25,female,Associate,16395,4,OWN,3600,MEDICAL,14.59,0.22,3,646,1
22,female,Bachelor,16890,0,OWN,4750,EDUCATION,11.01,0.28,3,645,1
25,female,Associate,51747,3,RENT,25000,EDUCATION,16.35,0.48,3,697,1
21,male,High School,59864,0,RENT,25000,EDUCATION,10.99,0.42,2,648,1
26,male,Bachelor,270870,5,RENT,3000,EDUCATION,9.32,0.01,4,681,0
23,female,Associate,270729,0,RENT,7500,DEBTCONSOLIDATION,8.63,0.03,2,646,0
22,male,Associate,60501,0,RENT,25000,PERSONAL,11.83,0.41,3,687,1
23,male,High School,60754,1,RENT,25000,DEBTCONSOLIDATION,7.9,0.41,3,650,1
25,male,Bachelor,60829,0,RENT,25000,HOMEIMPROVEMENT,5.99,0.41,2,588,1
24,male,Bachelor,53825,2,RENT,25000,DEBTCONSOLIDATION,15.33,0.46,2,652,1
23,male,High School,60801,0,RENT,25000,VENTURE,11.83,0.41,4,658,1
22,male,High School,60747,0,RENT,25000,VENTURE,10.36,0.41,2,634,1
22,female,High School,61029,0,RENT,25000,VENTURE,12.23,0.41,3,623,1
22,female,Associate,63236,0,RENT,25000,EDUCATION,11.11,0.4,4,635,1
23,female,Bachelor,17149,0,OWN,4950,DEBTCONSOLIDATION,7.9,0.29,4,531,1
23,male,Associate,260205,2,MORTGAGE,21000,DEBTCONSOLIDATION,8.9,0.08,3,703,0
26,female,Bachelor,260444,4,MORTGAGE,20000,EDUCATION,14.22,0.08,2,594,0
23,male,High School,63497,0,RENT,25000,PERSONAL,13.22,0.39,2,695,1
26,female,Doctorate,56325,2,RENT,25000,DEBTCONSOLIDATION,11.86,0.44,4,690,1
22,male,Bachelor,64842,0,RENT,25000,EDUCATION,13.43,0.39,4,574,1
26,female,High School,57856,0,RENT,25000,HOMEIMPROVEMENT,15.28,0.43,2,602,1
23,male,Associate,57318,0,RENT,25000,VENTURE,17.93,0.44,2,679,1
23,female,High School,16916,2,MORTGAGE,1400,EDUCATION,9.25,0.08,4,615,0
21,male,Master,16664,0,OWN,4500,VENTURE,12.98,0.27,4,601,1
26,male,Bachelor,58602,8,RENT,25000,VENTURE,18.43,0.43,2,595,1
22,male,High School,67012,2,RENT,25000,EDUCATION,11.01,0.37,4,653,1
24,female,Master,66643,3,RENT,25000,HOMEIMPROVEMENT,11.01,0.38,4,663,1
23,male,Bachelor,66599,0,RENT,25000,EDUCATION,11.36,0.38,3,653,1
23,male,Associate,67212,2,RENT,25000,EDUCATION,15.65,0.37,3,598,1
24,female,High School,66918,1,RENT,25000,PERSONAL,13.22,0.37,4,630,1
26,male,Associate,68066,2,RENT,25000,DEBTCONSOLIDATION,12.87,0.37,2,637,1
23,male,Associate,229083,0,MORTGAGE,22000,EDUCATION,17.58,0.1,3,639,1
23,male,High School,17859,0,OWN,7750,PERSONAL,17.04,0.43,4,626,1
24,female,Associate,72608,3,RENT,25000,PERSONAL,10.99,0.34,3,612,1
24,male,Bachelor,73073,1,RENT,25000,PERSONAL,11.11,0.34,3,628,1
26,female,Master,65880,2,RENT,25000,DEBTCONSOLIDATION,14.83,0.38,2,592,1
23,male,High School,17755,1,OWN,4000,DEBTCONSOLIDATION,11.01,0.23,3,580,1
24,male,Bachelor,241180,3,RENT,12000,MEDICAL,12.69,0.05,2,634,0
24,male,Associate,240894,3,MORTGAGE,12000,HOMEIMPROVEMENT,13.49,0.05,2,678,0
25,male,Bachelor,65742,3,RENT,25000,HOMEIMPROVEMENT,16.82,0.38,4,672,1
23,male,Bachelor,72713,0,RENT,25000,PERSONAL,12.73,0.34,3,613,1
23,male,High School,72627,3,RENT,25000,PERSONAL,10.25,0.34,4,566,1
21,male,Associate,72843,0,RENT,25000,EDUCATION,10.99,0.34,4,718,1
25,male,High School,75504,4,RENT,25000,MEDICAL,12.73,0.33,2,484,1
22,female,High School,68824,0,RENT,25000,HOMEIMPROVEMENT,14.96,0.36,3,634,1
21,male,Bachelor,241060,0,MORTGAGE,25000,DEBTCONSOLIDATION,13.99,0.1,2,699,0
25,male,High School,240895,2,MORTGAGE,15500,DEBTCONSOLIDATION,11.99,0.06,2,659,0
24,male,Associate,80145,1,RENT,25000,EDUCATION,9.91,0.31,2,636,1
22,male,Master,80303,0,RENT,25000,EDUCATION,13.06,0.31,3,554,1
25,male,Associate,241201,2,MORTGAGE,23050,PERSONAL,14.35,0.1,3,578,0
24,male,Bachelor,240920,5,MORTGAGE,20000,DEBTCONSOLIDATION,11.01,0.08,3,615,0
24,female,Master,72919,1,RENT,25000,DEBTCONSOLIDATION,11.01,0.34,2,553,1
21,male,Master,18008,0,OWN,3000,HOMEIMPROVEMENT,11.01,0.17,4,635,1
26,female,Associate,81238,3,RENT,25000,PERSONAL,15.21,0.31,2,531,1
23,male,High School,80868,1,RENT,25000,EDUCATION,7.9,0.31,4,621,1
24,male,Bachelor,81537,1,RENT,25000,VENTURE,10.99,0.31,3,674,1
24,female,Associate,82741,0,RENT,25000,PERSONAL,14.09,0.3,3,688,1
25,female,High School,83901,3,RENT,25000,PERSONAL,17.49,0.3,2,597,1
25,male,Associate,240717,1,MORTGAGE,12000,EDUCATION,11.48,0.05,3,640,0
26,female,Associate,226744,0,MORTGAGE,20000,VENTURE,17.74,0.09,2,621,1
25,male,Bachelor,85284,3,RENT,25000,EDUCATION,15.21,0.29,3,653,1
22,female,Bachelor,18152,0,OWN,4000,MEDICAL,10.99,0.22,3,585,1
24,female,High School,84871,3,RENT,25000,EDUCATION,11.86,0.29,4,569,1
24,male,Bachelor,18294,2,OWN,6000,PERSONAL,7.49,0.33,3,587,1
24,male,Bachelor,68029,1,RENT,25000,MEDICAL,16.49,0.37,4,631,1
25,female,High School,80001,4,RENT,25000,VENTURE,15.33,0.31,2,592,1
26,female,High School,79875,6,RENT,25000,HOMEIMPROVEMENT,11.58,0.31,4,679,1
25,male,High School,18449,1,OWN,5375,EDUCATION,5.79,0.29,2,645,1
25,male,Associate,88153,0,RENT,25000,MEDICAL,13.11,0.28,2,669,1
23,female,Bachelor,90109,0,RENT,25000,MEDICAL,10.36,0.28,3,653,1
25,male,Bachelor,90938,1,RENT,25000,DEBTCONSOLIDATION,10.36,0.27,2,577,1
21,male,Bachelor,231829,0,MORTGAGE,20000,VENTURE,6.54,0.09,4,629,0
25,female,Associate,230516,4,MORTGAGE,10000,MEDICAL,12.53,0.04,4,643,0
26,male,Bachelor,229626,0,MORTGAGE,15000,PERSONAL,11.01,0.07,3,626,0
24,male,Bachelor,90938,0,RENT,25000,EDUCATION,10.25,0.27,4,648,1
22,male,Associate,86284,0,RENT,25000,EDUCATION,15.95,0.29,4,648,1
23,male,High School,94789,1,RENT,25000,DEBTCONSOLIDATION,11.01,0.26,2,548,1
23,female,Master,94780,0,RENT,25000,VENTURE,10.62,0.26,3,667,1
23,male,High School,95298,0,RENT,25000,VENTURE,10.74,0.26,3,676,1
24,male,High School,222629,0,MORTGAGE,35000,EDUCATION,12.42,0.16,2,623,0
24,female,High School,75240,1,RENT,25000,MEDICAL,15.33,0.33,2,625,1
23,female,High School,96143,1,RENT,25000,VENTURE,15.21,0.26,2,642,1
21,male,Bachelor,18064,0,OWN,6250,VENTURE,14.72,0.35,2,580,1
24,male,Associate,96627,2,RENT,25000,PERSONAL,15.7,0.26,2,622,1
24,male,Bachelor,96309,3,RENT,25000,EDUCATION,13.35,0.26,4,581,1
21,female,High School,18421,1,MORTGAGE,1500,MEDICAL,11.01,0.08,4,623,0
24,male,Master,96836,1,RENT,25000,EDUCATION,6.62,0.26,2,583,1
26,male,Bachelor,96947,4,RENT,25000,DEBTCONSOLIDATION,13.61,0.26,4,645,1
24,female,Associate,207712,0,MORTGAGE,20000,DEBTCONSOLIDATION,13.47,0.1,4,582,1
23,female,Bachelor,89818,0,RENT,25000,DEBTCONSOLIDATION,16.35,0.28,4,674,1
26,female,High School,90006,4,RENT,25000,DEBTCONSOLIDATION,11.01,0.28,4,595,1
25,female,High School,98704,6,RENT,25000,DEBTCONSOLIDATION,7.29,0.25,3,597,1
23,male,High School,98967,5,RENT,25000,MEDICAL,11.36,0.25,3,566,1
24,male,High School,99435,3,RENT,25000,VENTURE,10.25,0.25,2,666,0
24,female,Bachelor,100658,1,RENT,25000,EDUCATION,11.12,0.25,3,695,0
23,male,Master,18512,1,OWN,4000,HOMEIMPROVEMENT,16.7,0.22,2,566,1
22,male,Master,18367,0,OWN,2100,PERSONAL,11.14,0.11,4,583,0
25,female,High School,172215,5,MORTGAGE,10000,MEDICAL,18.25,0.06,4,628,1
23,male,Master,18831,0,MORTGAGE,6000,DEBTCONSOLIDATION,11.01,0.32,4,667,1
24,male,Bachelor,91184,1,RENT,25000,VENTURE,14.7,0.27,3,668,1
23,female,High School,91886,1,RENT,25000,DEBTCONSOLIDATION,16.02,0.27,4,544,1
23,male,Associate,80452,2,RENT,25000,MEDICAL,15.37,0.31,2,699,1
25,female,Bachelor,108758,2,RENT,25000,MEDICAL,10.99,0.23,4,611,0
21,male,Associate,18916,0,OWN,6200,HOMEIMPROVEMENT,7.9,0.33,2,615,1
25,male,Bachelor,216483,0,MORTGAGE,9950,VENTURE,11.26,0.05,2,601,0
23,female,Master,19000,2,OWN,4475,MEDICAL,11.01,0.24,4,647,1
23,female,Master,94363,0,RENT,25000,VENTURE,16.32,0.26,3,576,1
25,male,Master,80570,3,RENT,25000,MEDICAL,17.93,0.31,4,612,1
23,male,Bachelor,109167,0,RENT,25000,DEBTCONSOLIDATION,11.36,0.23,3,678,0
24,female,Associate,95753,1,RENT,25000,DEBTCONSOLIDATION,14.96,0.26,4,542,1
23,female,High School,113396,0,RENT,25000,VENTURE,15.21,0.22,4,660,0
23,female,High School,85787,0,RENT,25000,MEDICAL,19.04,0.29,4,646,1
25,female,Master,102114,7,RENT,25000,DEBTCONSOLIDATION,15.95,0.24,3,637,1
26,male,Bachelor,211005,5,MORTGAGE,2600,VENTURE,8.9,0.01,4,718,0
22,male,Associate,210555,0,MORTGAGE,18000,EDUCATION,11.01,0.09,2,652,0
23,male,High School,19062,2,OWN,4000,DEBTCONSOLIDATION,13.98,0.21,4,667,1
23,female,Associate,18926,0,OWN,4600,VENTURE,10.99,0.24,2,688,1
22,male,Associate,106694,0,RENT,25000,DEBTCONSOLIDATION,15.58,0.23,2,667,1
25,male,Master,90718,4,RENT,25000,MEDICAL,10.99,0.28,2,692,1
25,male,Bachelor,106668,1,RENT,25000,VENTURE,14.96,0.23,4,562,1
26,male,High School,106419,5,RENT,25000,VENTURE,15.65,0.23,3,649,1
23,male,High School,19065,3,MORTGAGE,3600,PERSONAL,13.47,0.19,4,540,1
24,male,Associate,111673,4,RENT,25000,HOMEIMPROVEMENT,16.77,0.22,4,600,1
23,male,High School,112633,1,RENT,25000,DEBTCONSOLIDATION,14.59,0.22,2,633,1
22,male,High School,210938,0,RENT,3500,VENTURE,11.91,0.02,2,588,0
26,female,Master,209873,3,RENT,12000,DEBTCONSOLIDATION,12.53,0.06,4,675,0
25,female,Associate,195268,1,MORTGAGE,25000,DEBTCONSOLIDATION,16.0,0.13,3,662,1
21,male,Master,18773,0,OWN,3175,HOMEIMPROVEMENT,11.54,0.17,3,686,1
25,female,Bachelor,116439,2,RENT,25000,HOMEIMPROVEMENT,15.68,0.21,4,595,1
24,female,High School,118417,0,RENT,25000,HOMEIMPROVEMENT,12.61,0.21,2,625,1
23,female,Associate,19312,4,MORTGAGE,2800,PERSONAL,8.49,0.14,3,661,1
25,male,High School,192351,1,RENT,30000,PERSONAL,17.27,0.16,4,577,1
24,male,High School,190735,1,RENT,25000,HOMEIMPROVEMENT,14.59,0.13,2,653,1
26,female,Associate,204872,3,RENT,13000,VENTURE,12.42,0.06,3,654,0
24,male,Associate,100758,0,RENT,25000,MEDICAL,11.01,0.25,2,635,1
22,female,Master,18923,0,OWN,2500,HOMEIMPROVEMENT,12.53,0.13,3,618,1
25,female,Master,161894,0,RENT,5000,MEDICAL,16.49,0.03,2,609,1
22,female,High School,121617,2,RENT,25000,DEBTCONSOLIDATION,14.96,0.21,2,629,1
25,male,Associate,136206,6,RENT,25000,MEDICAL,12.73,0.18,4,539,0
25,female,High School,145233,3,RENT,25000,MEDICAL,10.74,0.17,2,683,0
24,male,Master,110953,0,RENT,25000,MEDICAL,15.33,0.23,2,662,1
26,male,High School,130096,1,RENT,25000,PERSONAL,15.05,0.19,3,636,1
25,female,Associate,205005,6,OWN,20000,EDUCATION,12.53,0.1,4,587,0
26,female,Bachelor,205060,2,MORTGAGE,12000,VENTURE,13.57,0.06,2,658,0
23,female,Associate,203403,0,RENT,20000,EDUCATION,11.58,0.1,3,648,0
24,male,Associate,161487,1,RENT,25000,DEBTCONSOLIDATION,10.37,0.15,2,641,0
24,male,Associate,19677,3,OWN,3300,HOMEIMPROVEMENT,6.39,0.17,4,637,1
25,male,High School,19423,3,OWN,3200,VENTURE,18.09,0.16,2,586,1
23,male,High School,181016,4,RENT,25000,EDUCATION,10.36,0.14,3,674,0
22,female,Master,184800,1,MORTGAGE,24000,DEBTCONSOLIDATION,15.62,0.13,2,670,1
24,male,Master,198862,6,MORTGAGE,20000,PERSONAL,10.37,0.1,4,658,0
25,male,Associate,199407,0,MORTGAGE,25000,HOMEIMPROVEMENT,19.74,0.13,4,669,0
23,male,Associate,20044,3,OWN,6000,MEDICAL,7.9,0.3,2,618,1
23,male,Master,178660,2,RENT,25000,DEBTCONSOLIDATION,14.93,0.14,3,590,1
23,female,High School,20421,0,MORTGAGE,5600,MEDICAL,12.84,0.27,4,587,1
24,male,Master,20353,2,OWN,3625,VENTURE,17.14,0.18,2,648,1
22,male,Master,20297,0,MORTGAGE,5500,VENTURE,7.14,0.27,3,687,1
25,male,Bachelor,210932,0,RENT,25000,PERSONAL,8.9,0.12,2,621,0
25,male,High School,270992,2,RENT,25000,VENTURE,11.86,0.09,4,652,0
25,male,Associate,20221,5,OWN,5000,PERSONAL,8.94,0.25,4,572,1
23,male,Bachelor,20678,0,OWN,4375,VENTURE,9.63,0.21,4,528,1
25,female,High School,60742,3,RENT,24750,PERSONAL,14.22,0.41,3,638,1
23,female,High School,72805,2,RENT,24750,DEBTCONSOLIDATION,9.33,0.34,3,655,1
22,male,High School,20896,0,MORTGAGE,2000,EDUCATION,10.65,0.1,2,596,0
24,female,Bachelor,111283,0,RENT,24500,MEDICAL,11.46,0.22,4,694,0
24,female,Bachelor,193174,0,MORTGAGE,12000,VENTURE,16.77,0.06,4,547,0
26,female,Bachelor,192954,5,RENT,25000,PERSONAL,12.23,0.13,4,694,0
25,male,Master,152227,2,MORTGAGE,10000,MEDICAL,14.09,0.07,4,639,1
25,female,Bachelor,65399,0,RENT,24250,PERSONAL,13.98,0.37,4,663,1
23,female,High School,75928,4,RENT,24250,EDUCATION,10.62,0.32,4,528,1
24,male,Bachelor,21627,0,MORTGAGE,3900,DEBTCONSOLIDATION,11.01,0.18,3,636,1
25,male,High School,83235,3,RENT,24250,PERSONAL,17.56,0.29,4,603,1
26,male,High School,68297,3,RENT,24250,MEDICAL,14.96,0.36,2,507,1
22,male,Master,89977,3,RENT,24250,DEBTCONSOLIDATION,15.65,0.27,2,692,1
24,female,Associate,79510,2,RENT,24250,MEDICAL,15.7,0.3,2,604,1
24,female,Bachelor,109050,5,RENT,24250,VENTURE,12.53,0.22,3,622,0
26,female,Bachelor,94635,2,RENT,24250,HOMEIMPROVEMENT,17.56,0.26,3,643,1
23,male,High School,120966,0,RENT,24250,PERSONAL,12.87,0.2,2,565,0
21,female,High School,192841,1,MORTGAGE,15250,VENTURE,15.31,0.08,4,648,0
22,male,Associate,21205,0,MORTGAGE,4750,HOMEIMPROVEMENT,13.85,0.22,2,658,1
25,female,Bachelor,135292,3,RENT,24250,PERSONAL,11.01,0.18,3,574,0
21,male,High School,21363,2,MORTGAGE,6000,VENTURE,10.39,0.28,4,671,1
25,male,High School,139035,7,RENT,24250,HOMEIMPROVEMENT,11.36,0.17,2,633,0
22,female,Bachelor,130762,3,RENT,24150,HOMEIMPROVEMENT,14.96,0.18,3,683,1
22,female,Bachelor,52596,0,RENT,24000,DEBTCONSOLIDATION,13.85,0.46,3,693,1
23,female,Bachelor,57326,2,RENT,24000,VENTURE,11.58,0.42,4,603,1
24,female,High School,58262,1,RENT,24000,VENTURE,16.29,0.41,2,522,1
26,female,High School,58620,4,RENT,24000,MEDICAL,11.01,0.41,3,664,1
21,female,Master,55113,0,RENT,24000,EDUCATION,16.29,0.44,2,645,1
25,male,Bachelor,63361,2,RENT,24000,PERSONAL,10.74,0.38,2,592,1
24,female,Bachelor,57356,3,RENT,24000,PERSONAL,17.8,0.42,2,672,1
22,female,High School,59680,0,RENT,24000,MEDICAL,17.56,0.4,4,590,1
26,female,Master,72720,2,RENT,24000,PERSONAL,7.9,0.33,4,636,1
25,female,High School,73024,5,RENT,24000,PERSONAL,10.99,0.33,4,580,1
22,male,Bachelor,73110,0,RENT,24000,PERSONAL,7.29,0.33,3,674,1
21,female,Associate,72902,0,RENT,24000,MEDICAL,10.75,0.33,2,601,1
26,female,High School,75416,4,RENT,24000,DEBTCONSOLIDATION,7.9,0.32,3,620,1
22,male,Master,75959,0,RENT,24000,EDUCATION,14.84,0.32,2,642,1
26,male,Associate,79222,7,RENT,24000,DEBTCONSOLIDATION,11.01,0.3,2,616,1
22,female,Associate,21824,0,MORTGAGE,4975,EDUCATION,11.01,0.23,3,588,1
23,male,High School,71875,1,RENT,24000,DEBTCONSOLIDATION,19.69,0.33,2,585,1
23,male,Bachelor,80313,1,RENT,24000,VENTURE,11.01,0.3,4,632,1
24,male,High School,72647,5,RENT,24000,VENTURE,14.96,0.33,4,556,1
25,male,Bachelor,80492,4,RENT,24000,EDUCATION,6.99,0.3,3,602,1
22,male,High School,75646,0,RENT,24000,PERSONAL,16.45,0.32,4,639,1
24,male,Associate,85223,3,RENT,24000,EDUCATION,10.99,0.28,4,603,1
23,male,Associate,89735,2,RENT,24000,DEBTCONSOLIDATION,10.99,0.27,2,689,1
22,male,High School,22364,4,OWN,3000,PERSONAL,7.9,0.13,4,672,1
22,female,Master,90780,2,RENT,24000,EDUCATION,12.69,0.26,4,499,1
24,male,Bachelor,90889,1,RENT,24000,MEDICAL,10.37,0.26,3,643,1
24,male,Bachelor,90911,2,RENT,24000,HOMEIMPROVEMENT,11.01,0.26,3,589,1
26,male,Master,83953,2,RENT,24000,DEBTCONSOLIDATION,15.83,0.29,3,646,1
23,male,Associate,94644,1,RENT,24000,PERSONAL,13.92,0.25,3,613,1
22,female,High School,22616,0,OWN,2000,VENTURE,11.49,0.09,3,567,0
24,female,Bachelor,96989,4,RENT,24000,MEDICAL,10.25,0.25,2,603,0
22,female,Associate,22867,3,OWN,3500,HOMEIMPROVEMENT,7.49,0.15,4,647,1
23,female,Master,22583,1,OWN,4000,EDUCATION,5.99,0.18,2,645,1
23,female,Bachelor,90900,0,RENT,24000,PERSONAL,12.92,0.26,2,672,1
26,female,Master,107641,6,RENT,24000,PERSONAL,11.58,0.22,3,648,0
25,male,High School,114870,4,RENT,24000,EDUCATION,8.9,0.21,2,653,0
22,male,Bachelor,100479,0,RENT,24000,DEBTCONSOLIDATION,19.69,0.24,3,590,1
21,female,Master,22882,0,OWN,4900,HOMEIMPROVEMENT,14.54,0.21,4,674,1
21,female,Bachelor,22392,0,OWN,5000,EDUCATION,11.11,0.22,2,594,1
26,female,High School,120498,5,RENT,24000,PERSONAL,12.73,0.2,4,626,0
24,male,Associate,22635,3,OWN,6250,HOMEIMPROVEMENT,6.54,0.28,4,602,1
22,female,Associate,118299,0,RENT,24000,DEBTCONSOLIDATION,11.01,0.2,2,503,1
26,female,Associate,125665,5,RENT,24000,DEBTCONSOLIDATION,20.0,0.19,4,657,1
22,female,High School,144904,0,RENT,24000,EDUCATION,9.91,0.17,4,638,0
26,male,Associate,130649,4,RENT,24000,EDUCATION,20.0,0.18,3,678,1
23,male,Bachelor,22957,1,MORTGAGE,2500,MEDICAL,15.95,0.11,2,594,1
25,female,Bachelor,163004,3,RENT,24000,PERSONAL,10.99,0.15,2,662,0
